ID,Year,Name,Topic,Url
A7-0294/2012,2012,Establishment of a Programme for the Environment and Climate Action (LIFE),,https://www.europarl.europa.eu/doceo/document/A-7-2012-0294_EN.html?redirect
A8-0317/2018,2018,Reduction of the impact of certain plastic products on the environment,,https://www.europarl.europa.eu/doceo/document/A-8-2018-0317_EN.html
A8-0249/2015,2015,Reduction of national emissions of certain atmospheric pollutants,,https://www.europarl.europa.eu/doceo/document/TA-8-2016-0438_EN.html
A8-0354/2018,2018,CO2 emission performance standards for new heavy duty vehicles,,https://www.europarl.europa.eu/doceo/document/A-8-2018-0354_EN.html
A6-0411/2008,2008,Report on the proposal for a decision of the European Parliament and of the Council on the effort of Member States to reduce their greenhouse gas emissions to meet the Community’s greenhouse gas emission reduction commitments up to 2020,GHG,https://www.europarl.europa.eu/sides/getDoc.do?pubRef=-//EP//TEXT+REPORT+A6-2008-0411+0+NOT+XML+V0//EN
A7-0191/2012,2012, regulation of the European Parliament and of the Council on a mechanism for monitoring and reporting greenhouse gas emissions and for reporting other information at national and Union level relevant to climate change,GHG,https://www.europarl.europa.eu/doceo/document/A-7-2012-0191_EN.html?redirect
A7-0240/2013,2013,regulation of the European Parliament and of the Council on fluorinated greenhouse gases,GHG,https://www.europarl.europa.eu/doceo/document/TA-7-2014-0223_EN.html?redirect
A8-0029/2015,2015,establishment and operation of a market stability reserve for the Union greenhouse gas emission trading scheme and amending,GHG,europarl.europa.eu/doceo/document/A-8-2015-0029_EN.html
A7-0033/2012,2012,"Competitive low carbon economy in 2050	",Carbon,https://www.europarl.europa.eu/doceo/document/TA-7-2012-0086_EN.html?redirect
A6-0369/2008,2008,promotion of the use of energy from renewable sources,Renewables,https://www.europarl.europa.eu/sides/getDoc.do?reference=A6-2008-0369&type=REPORT&language=EN&redirect
A6-0254/2009,2009,Energy performance of buildings,Energy,https://www.europarl.europa.eu/sides/getDoc.do?type=TA&reference=P6-TA-2009-0278&language=EN&ring=A6-2009-0254
A7-0124/2010,2010,Energy performance of buildings,Energy,https://www.europarl.europa.eu/doceo/document/A-7-2010-0124_EN.html?redirect
A8-0402/2017,2017,Governance of the energy union and climate action ,Energy,https://www.europarl.europa.eu/doceo/document/A-8-2017-0402_EN.html
A7-0265/2012,2012,roposal for a directive of the European Parliament and of the Council on energy efficiency and repealing Directives 2004/8/EC and 2006/32/EC,Energy,https://www.europarl.europa.eu/doceo/document/A-7-2012-0265_EN.html?redirect
A6-0406/2008,2008,Council amending Directive 2003/87/EC so as to improve and extend the greenhouse gas emission allowance trading system of the Community,GHG,https://www.europarl.europa.eu/sides/getDoc.do?pubRef=-//EP//TEXT+REPORT+A6-2008-0406+0+NOT+XML+V0//EN
A8-0160/2015,2015,limitation of emissions of certain pollutants into the air from medium combustion plants,Energy,https://www.europarl.europa.eu/doceo/document/A-8-2015-0160_EN.html
A7-0035/2013,2013,"Energy roadmap 2050, a future with energy",Energy,https://www.europarl.europa.eu/doceo/document/A-7-2013-0035_EN.html?redirect
A6-0402/2007,2007, include aviation activities in the scheme for greenhouse gas emission allowance trading within the Community,GHG,https://www.europarl.europa.eu/sides/getDoc.do?pubRef=-//EP//TEXT+REPORT+A6-2007-0402+0+NOT+XML+V0//EN
A7-0444/2013,2013,deployment of alternative fuels infrastructure,Energy,https://www.europarl.europa.eu/doceo/document/A-7-2013-0444_EN.html?redirect
A6-0414/2008,2008,geological storage of carbon dioxide and amending,Energy,https://www.europarl.europa.eu/sides/getDoc.do?pubRef=-//EP//TEXT+REPORT+A6-2008-0414+0+NOT+XML+V0//EN
